Number,Student ID,Type,Pre/Post,Thinking
167,2210200,CC,Pre,Developing
168,2200093,Research,Pre,Developing
169,2221693,Research,Post,Scientific
170,2128104,Research,Pre,Developing
171,2222560,Research,Pre,Developing
172,2215676,Research,Pre,Mixed
173,2216805,Mixed,Pre,Developing
174,2218275,Mixed,Post,Developing
175,2222503,Research,Post,Developing
176,2219805,CC,Post,Mixed
177,2207889,Mixed,Post,Mixed
178,2199840,Research,Pre,Scientific
179,2200421,Research,Pre,Developing
180,2207889,Mixed,Pre,Developing
181,2219805,CC,Pre,Developing
182,2225750,Mixed,Pre,Developing
183,2200386,Research,Pre,Developing
184,2223286,CC,Pre,Developing
185,2219211,Mixed,Pre,Developing
186,2226797,Mixed,Post,Developing
187,2210213,CC,Pre,Developing
188,2219806,CC,Pre,Developing
189,2198891,Research,Pre,Mixed
190,2223925,CC,Post,Scientific
191,2221690,Research,Pre,Developing
192,2211728,Mixed,Post,Mixed
193,2211635,CC,Post,Mixed
194,2128104,Research,Post,Mixed
195,2215751,Research,Post,Scientific
196,2223923,CC,Post,Mixed
197,2221687,Research,Post,Developing
198,2170160,CC,Pre,Developing
199,2219698,CC,Pre,Developing
200,2227267,Mixed,Pre,Mixed
202,2223383,CC,Pre,Mixed
203,2216577,Research,Post,Mixed
204,2208793,CC,Post,Scientific
205,2223298,CC,Post,Mixed
206,2200478,Research,Pre,Developing
207,2215554,Research,Pre,Developing
209,2222941,Mixed,Pre,Developing
210,2220488,Mixed,Post,Scientific
211,2219348,Mixed,Post,Developing
212,2199838,Research,Pre,Mixed
213,2222535,Research,Post,Scientific
214,2227452,Mixed,Post,Scientific
215,2223298,CC,Pre,Developing
216,2222585,Mixed,Post,Scientific
217,2222585,Mixed,Pre,Mixed
218,2223869,CC,Pre,Developing
219,2210351,Mixed,Post,Mixed
220,2221871,Research,Pre,Mixed
221,2210265,CC,Pre,Developing
222,2222560,Research,Post,Mixed
223,2200483,Research,Pre,Scientific
224,2200366,Research,Post,Mixed
225,2199838,Research,Post,Scientific
226,2165165,Research,Pre,Developing
227,2209385,CC,Post,Mixed
228,2167728,Research,Pre,Developing
229,2166853,Research,Post,Mixed
230,2216407,Research,Pre,Mixed
231,2215582,Research,Pre,Mixed
232,2208730,Mixed,Pre,Developing
234,2216577,Research,Pre,Developing
235,2211351,CC,Pre,Developing
236,2216560,Mixed,Pre,Developing
237,2219808,CC,Pre,Developing
238,2216386,Research,Post,Developing
242,2227479,Mixed,Pre,Developing
244,2216407,Research,Post,Developing
245,2200511,Research,Pre,Developing
246,2200366,Research,Pre,Developing
247,2211780,Mixed,Post,Mixed
248,2210018,Mixed,Post,Developing
249,2227267,Mixed,Post,Mixed
250,2225750,Mixed,Post,Mixed
251,2223825,CC,Post,Mixed
252,2207284,CC,Post,Mixed
253,2227262,Mixed,Post,Mixed
254,2211066,CC,Pre,Mixed
255,2210459,Mixed,Post,Mixed
256,2211780,Mixed,Pre,Mixed
257,2219806,CC,Post,Scientific
258,2166850,Research,Post,Mixed
259,2223383,CC,Post,Mixed
260,2166551,Research,Post,Scientific
261,2223300,CC,Post,Mixed
262,2213985,Mixed,Pre,Scientific
263,2221690,Research,Post,Mixed
264,2213985,Mixed,Post,Scientific
265,2223294,CC,Pre,Developing
266,2217048,Mixed,Pre,Developing
267,2211140,CC,Pre,Developing
268,2211351,CC,Post,Mixed
269,2223300,CC,Pre,Developing
270,2210018,Mixed,Pre,Developing
271,2227542,Mixed,Pre,Scientific
272,2166551,Research,Pre,Developing
273,2210011,Mixed,Post,Mixed
274,2203404,Mixed,Pre,Developing
275,2211066,CC,Post,Mixed
276,2199544,Research,Post,Developing
277,2227614,Mixed,Pre,Developing
278,2209966,CC,Post,Developing
279,2223297,CC,Post,Scientific
280,2199866,Research,Pre,Developing
281,2199866,Research,Post,Developing
282,2216820,Mixed,Pre,Developing
283,2215002,Mixed,Post,Scientific
284,2223295,CC,Pre,Developing
285,2223056,Mixed,Pre,Developing
287,2217048,Mixed,Post,Scientific
288,2208730,Mixed,Post,Mixed
289,2214922,Research,Pre,Developing
290,2227103,Mixed,Pre,Developing
291,2200478,Research,Post,Mixed
292,2223841,CC,Pre,Developing
293,2210482,Mixed,Post,Scientific
294,2222622,Research,Post,Scientific
295,2227103,Mixed,Post,Mixed
296,2222476,Research,Pre,Mixed
297,2221693,Research,Pre,Mixed
298,2222476,Research,Post,Mixed
299,2223287,CC,Pre,Developing
300,2215768,Research,Pre,Developing
302,2207201,CC,Post,Scientific
303,2209092,CC,Post,Mixed
304,2223703,CC,Pre,Developing
305,2224398,CC,Post,Developing
306,2223190,Mixed,Post,Developing
307,2223102,Mixed,Pre,Developing
308,2223825,CC,Pre,Developing
309,2226409,Mixed,Pre,Developing
310,2226597,Mixed,Pre,Developing
311,2215768,Research,Post,Mixed
312,2223292,CC,Pre,Developing
313,2172527,Research,Pre,Mixed
314,2215565,Research,Post,Mixed
315,2224362,Mixed,Post,Scientific
316,2217459,Mixed,Post,Developing
317,2222532,Research,Pre,Developing
318,2093596,Research,Post,Developing
319,2200299,Research,Post,Developing
320,2170160,CC,Post,Developing
321,2211638,CC,Pre,Developing
322,2217459,Mixed,Pre,Developing
323,2206452,CC,Post,Developing
324,2216151,Mixed,Pre,Developing
325,2223287,CC,Post,Developing
326,2222958,Mixed,Post,Developing
327,2222958,Mixed,Pre,Developing
328,2215565,Research,Pre,Developing
329,2210200,CC,Post,Mixed
330,2222799,Research,Pre,Mixed
331,2200279,Research,Pre,Developing
332,2222921,Mixed,Post,Scientific
333,2210476,CC,Pre,Scientific
335,2223289,CC,Pre,Mixed
336,2215630,Research,Post,Developing
337,2200480,Research,Post,Mixed
338,2166850,Research,Pre,Mixed
339,2156118,CC,Pre,Developing
340,2222884,Research,Post,Developing
341,2198962,Research,Post,Mixed
342,2200313,Research,Post,Scientific
343,2211635,CC,Pre,Mixed
344,2216560,Mixed,Post,Mixed
345,2172527,Research,Post,Scientific
347,2221871,Research,Post,Mixed
348,2222532,Research,Post,Mixed
349,2210095,Mixed,Pre,Developing
350,2223291,CC,Post,Developing
351,2223288,CC,Post,Developing
352,2198617,Research,Post,Mixed
353,2211354,CC,Post,Scientific
354,2209864,CC,Post,Mixed
355,2211725,Mixed,Post,Scientific
356,2221200,Mixed,Pre,Mixed
